a.root-servers.net 198.41.0.4
b.root-servers.net 192.228.79.201
c.root-servers.net 192.33.4.12
d.root-servers.net 199.7.91.13
e.root-servers.net 192.203.230.10
f.root-servers.net 192.5.5.241
g.root-servers.net 192.112.36.4
h.root-servers.net 198.97.190.53
i.root-servers.net 192.36.148.17
j.root-servers.net 192.58.128.30
k.root-servers.net 193.0.14.129
l.root-servers.net 199.7.83.42
m.root-servers.net 202.12.27.33
a.gtld-servers.net 192.5.6.30
b.gtld-servers.net 192.33.14.30
c.gtld-servers.net 192.26.92.30
d.gtld-servers.net 192.31.80.30
e.gtld-servers.net 192.12.94.30
f.gtld-servers.net 192.35.51.30
g.gtld-servers.net 192.42.93.30
h.gtld-servers.net 192.54.112.30
i.gtld-servers.net 192.43.172.30
j.gtld-servers.net 192.48.79.30
k.gtld-servers.net 192.52.178.30
l.gtld-servers.net 192.41.162.30
m.gtld-servers.net 192.55.83.30
a0.org.afilias-nst.info 199.19.56.1  
a2.org.afilias-nst.info 199.249.112.1
b0.org.afilias-nst.org 199.19.54.1
b2.org.afilias-nst.org 199.249.120.1
c0.org.afilias-nst.info 199.19.53.1
d0.org.afilias-nst.org 199.19.57.1
ns.cernet.net 202.112.0.44
nsa.nic.uk 156.154.100.3
nsb.nic.uk 156.154.101.3
nsc.nic.uk 156.154.102.3
nsd.nic.uk 156.154.103.3
dns1.nic.uk 213.248.216.1
dns2.nic.uk 103.49.80.1
dns3.nic.uk 213.248.220.1
dns4.nic.uk 43.230.48.1
